,Country Code,Date,Measures,Num Measures
0,AUT,"Dec 17, 2019",No new mitigation,0.0
1,AUT,"Dec 18, 2019",No new mitigation,0.0
2,AUT,"Dec 19, 2019",No new mitigation,0.0
3,AUT,"Dec 20, 2019",No new mitigation,0.0
4,AUT,"Dec 21, 2019",No new mitigation,0.0
5,AUT,"Dec 22, 2019",No new mitigation,0.0
6,AUT,"Dec 23, 2019",No new mitigation,0.0
7,AUT,"Dec 24, 2019",No new mitigation,0.0
8,AUT,"Dec 25, 2019",No new mitigation,0.0
9,AUT,"Dec 26, 2019",No new mitigation,0.0
10,AUT,"Dec 27, 2019",No new mitigation,0.0
11,AUT,"Dec 28, 2019",No new mitigation,0.0
12,AUT,"Dec 29, 2019",No new mitigation,0.0
13,AUT,"Dec 30, 2019",No new mitigation,0.0
14,AUT,"Dec 31, 2019",No new mitigation,0.0
15,AUT,"Jan 01, 2020",No new mitigation,0.0
16,AUT,"Jan 02, 2020",No new mitigation,0.0
17,AUT,"Jan 03, 2020",No new mitigation,0.0
18,AUT,"Jan 04, 2020",No new mitigation,0.0
19,AUT,"Jan 05, 2020",No new mitigation,0.0
20,AUT,"Jan 06, 2020",No new mitigation,0.0
21,AUT,"Jan 07, 2020",No new mitigation,0.0
22,AUT,"Jan 08, 2020",No new mitigation,0.0
23,AUT,"Jan 09, 2020",No new mitigation,0.0
24,AUT,"Jan 10, 2020",No new mitigation,0.0
25,AUT,"Jan 11, 2020",No new mitigation,0.0
26,AUT,"Jan 12, 2020",No new mitigation,0.0
27,AUT,"Jan 13, 2020",No new mitigation,0.0
28,AUT,"Jan 14, 2020",No new mitigation,0.0
29,AUT,"Jan 15, 2020",No new mitigation,0.0
30,AUT,"Jan 16, 2020",No new mitigation,0.0
31,AUT,"Jan 17, 2020",No new mitigation,0.0
32,AUT,"Jan 18, 2020",No new mitigation,0.0
33,AUT,"Jan 19, 2020",No new mitigation,0.0
34,AUT,"Jan 20, 2020",No new mitigation,0.0
35,AUT,"Jan 21, 2020",No new mitigation,0.0
36,AUT,"Jan 22, 2020",No new mitigation,0.0
37,AUT,"Jan 23, 2020",No new mitigation,0.0
38,AUT,"Jan 24, 2020",No new mitigation,0.0
39,AUT,"Jan 25, 2020",No new mitigation,0.0
40,AUT,"Jan 26, 2020",No new mitigation,0.0
41,AUT,"Jan 27, 2020",No new mitigation,0.0
42,AUT,"Jan 28, 2020",No new mitigation,0.0
43,AUT,"Jan 29, 2020",No new mitigation,0.0
44,AUT,"Jan 30, 2020",No new mitigation,0.0
45,AUT,"Jan 31, 2020",No new mitigation,0.0
46,AUT,"Feb 01, 2020",No new mitigation,0.0
47,AUT,"Feb 02, 2020",No new mitigation,0.0
48,AUT,"Feb 03, 2020",No new mitigation,0.0
49,AUT,"Feb 04, 2020",No new mitigation,0.0
50,AUT,"Feb 05, 2020",No new mitigation,0.0
51,AUT,"Feb 06, 2020",No new mitigation,0.0
52,AUT,"Feb 07, 2020",No new mitigation,0.0
53,AUT,"Feb 08, 2020",No new mitigation,0.0
54,AUT,"Feb 09, 2020",No new mitigation,0.0
55,AUT,"Feb 10, 2020",No new mitigation,0.0
56,AUT,"Feb 11, 2020",No new mitigation,0.0
57,AUT,"Feb 12, 2020",No new mitigation,0.0
58,AUT,"Feb 13, 2020",No new mitigation,0.0
59,AUT,"Feb 14, 2020",No new mitigation,0.0
60,AUT,"Feb 15, 2020",No new mitigation,0.0
61,AUT,"Feb 16, 2020",No new mitigation,0.0
62,AUT,"Feb 17, 2020",No new mitigation,0.0
63,AUT,"Feb 18, 2020",No new mitigation,0.0
64,AUT,"Feb 19, 2020",No new mitigation,0.0
65,AUT,"Feb 20, 2020",No new mitigation,0.0
66,AUT,"Feb 21, 2020",No new mitigation,0.0
67,AUT,"Feb 22, 2020",No new mitigation,0.0
68,AUT,"Feb 23, 2020",No new mitigation,0.0
69,AUT,"Feb 24, 2020",No new mitigation,0.0
70,AUT,"Feb 25, 2020",case reporting | source tracing | ,2.0
71,AUT,"Feb 26, 2020",No new mitigation,2.0
72,AUT,"Feb 27, 2020",No new mitigation,2.0
73,AUT,"Feb 28, 2020",No new mitigation,2.0
74,AUT,"Feb 29, 2020",No new mitigation,2.0
75,AUT,"Mar 01, 2020",source tracing | ,3.0
76,AUT,"Mar 02, 2020",No new mitigation,3.0
77,AUT,"Mar 03, 2020",No new mitigation,3.0
78,AUT,"Mar 04, 2020",No new mitigation,3.0
79,AUT,"Mar 05, 2020",No new mitigation,3.0
80,AUT,"Mar 06, 2020",No new mitigation,3.0
81,AUT,"Mar 07, 2020",No new mitigation,3.0
